PID	Status	Label
-	-9	com.apple.MobileAccessoryUpdater.fudHelperAgent
46041	-9	com.apple.reversetemplated
52937	0	application.com.apple.iCal.1152921500311883074.1152921500311883092
45759	-9	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
736	0	com.apple.rapportd
35608	-9	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
950	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
-	-9	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
658	0	com.apple.containermanagerd
8463	-9	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
21348	-9	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
10412	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
-	-9	com.apple.managedappdistributionagent
668	0	com.apple.accountsd
7707	-9	com.apple.cdpd
81606	-9	com.apple.routined
927	0	application.com.SMI-Inc.InstantView.525889700.525889711
18645	-9	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
-	-9	com.apple.ecosystemagent
660	0	com.apple.BiomeAgent
-	0	com.apple.storelegacy
-	0	com.apple.OSDUIHelper
17808	-9	com.apple.audio.AudioComponentRegistrar
18956	-9	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
-	0	com.apple.lockoutagent
-	0	com.apple.videosubscriptionsd
18704	-9	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
774	0	com.apple.notificationcenterui.agent
-	-9	com.apple.protectedcloudstorage.protectedcloudkeysyncing
866	0	com.apple.imklaunchagent
698	0	com.apple.FileProvider
40889	-9	com.apple.imcore.imtransferagent
49556	-9	com.apple.mobiletimerd
-	0	com.apple.btsa
870	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
-	-9	com.apple.EscrowSecurityAlert
-	-9	com.apple.MTLAssetUpgraderD
1041	0	com.apple.ptpcamerad
1229	0	com.apple.metadata.mdwrite
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.apple.dt.previewsviewservice
-	0	com.apple.spotlightknowledged
-	0	com.apple.securityuploadd
-	-9	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
